countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Barbados	deaths_million	166,876	166,876	170,427	177,528	262,741	543,235	813,077	923,145	994,156	1121,976	1327,908	1398,919	1597,75	1693,615	1750,424	1924,402	1988,312	1988,312	2013,165
Barbados	cases_million	14262,585	14489,821	15586,942	17866,4	29757,213	63068,533	89885,885	101421,643	157751,22	195866,442	210448,577	248822,991	286366,574	299741,519	326956,534	359032,26	364216,073	365757,014	370734,894
Barbados	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbados	rep_rate	0,875	0,961	1,231	1,319	1,374	1,170	0,919	1,015	1,259	0,864	0,950	1,182	0,931	0,923	1,139	0,881	0,577	0,237	0,036
Barbados	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbados	vacc_hundred	21,56	NA	NA	NA	NA	NA	NA	51,01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belarus	deaths_million	299,005	329,629	362,246	396,436	434,506	485,687	532,881	585,005	634,717	679,605	715,158	728,582	731,833	731,833	746,516	746,516	746,516	746,516	746,516
Belarus	cases_million	41367,679	43753,637	46779,45	50501,754	56432,982	62943,972	68665,026	73320,737	77918,87	96459,386	100966,066	102815,891	103080,392	103080,392	104251,871	104251,871	104251,871	104251,871	104251,871
Belarus	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belarus	rep_rate	0,987	0,909	1,053	1,098	1,084	1,007	0,964	0,929	1,133	1,241	0,680	0,799	0,237	0,000	0,000	0,000	0,000	0,000	0,000
Belarus	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belarus	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belgium	deaths_million	2140,972	2159,675	2165,508	2177,434	2196,48	2230,111	2317,706	2430,61	2492,467	2589,156	2644,664	2697,255	2724,28	2738,35	2764,946	2789,655	2803,124	2822,771	2836,412
Belgium	cases_million	91112,561	93096,96	96493,002	101636,224	106808,701	116734,642	151513,956	180624,306	270698,339	305193,677	330394,084	348016,026	356261,619	364285,008	378713,466	384552,558	389888,042	395699,165	398030,34
Belgium	icu_million	71,294	34,66	10,81	17,244	20,333	26,167	66,919	71,981	44,613	37,749	19,475	16,644	11,582	7,464	10,81	10,896	5,319	7,292	5,233
Belgium	rep_rate	0,877	0,858	1,232	1,139	1,097	1,339	1,362	1,059	1,291	0,816	1,071	1,062	0,971	1,409	1,282	1,000	1,301	1,120	1,124
Belgium	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belgium	vacc_hundred	19,21	35,17	59,53	70,39	72,74	74,02	74,99	75,77	76,29	78,02	78,44	78,49	78,53	78,57	78,59	78,6	78,61	78,63	78,64
Belize	deaths_million	799,437	811,774	831,514	893,199	1021,503	1211,493	1426,157	1485,374	1542,125	1603,81	1613,679	1667,962	1670,429	1677,832	1677,832	1677,832	1692,636	1695,103	1697,571
Belize	cases_million	31604,92	32695,511	34945,779	40349,384	51324,377	66121,371	75085,434	81029,399	124571,598	139886,746	141332,642	141868,068	146477,17	157829,675	165589,647	168528,32	169890,324	170109,923	170369
Belize	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belize	rep_rate	1,135	1,330	1,256	1,282	1,236	1,135	0,948	1,220	1,321	0,715	0,627	0,897	1,421	1,260	0,995	0,932	0,885	0,433	0,130
Belize	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belize	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benin	deaths_million	7,564	7,789	8,088	9,586	11,908	12,057	12,057	12,057	12,207	12,207	12,207	12,207	12,207	12,207	12,207	12,207	12,207	12,207	12,207
Benin	cases_million	603,466	614,026	628,629	1000,984	1789,129	1853,46	1861,024	1867,39	1980,848	1989,611	2018,443	2018,443	2018,443	2038,214	2045,703	2058,734	2069,818	2080,602	2095,431
Benin	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benin	rep_rate	0,552	0,431	0,382	0,424	0,485	0,479	0,427	0,357	0,339	0,280	0,163	0,091	0,054	0,034	0,022	0,020	0,020	0,024	0,037
Benin	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benin	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bermuda	deaths_million	513,963	513,963	513,963	529,537	1121,373	1573,037	1650,91	1713,209	1822,231	1915,679	1993,552	2040,276	2149,298	2180,448	2242,746	2305,045	2305,045	2305,045	2351,768
Bermuda	cases_million	38843,117	39154,609	39762,02	45524,631	81673,338	87949,912	89522,949	99989,098	168096,936	180058,249	195679,599	210070,553	229803,604	251717,102	267774,542	278988,272	282741,757	285638,638	287554,317
Bermuda	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bermuda	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bermuda	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bermuda	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhutan	deaths_million	1,278	1,278	2,556	3,834	3,834	3,834	3,834	3,834	5,112	7,668	12,78	26,839	26,839	26,839	26,839	26,839	26,839	26,839	26,839
Bhutan	cases_million	2070,401	2683,854	3214,234	3317,754	3324,144	3349,705	3373,987	3399,548	6250,823	16233,48	35913,795	75611,823	76206,105	76335,185	77151,843	78056,686	79197,962	79723,231	79880,428
Bhutan	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
